"Title","URL","Description","h1 headings","h2 headings","Response time","Link count","Word count","Internal backlinks","Last modified","Robots","Canonical"
"東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/","東京の女風（女性用風俗）なら東京裏彼氏（裏カレ）。全国No.1セラピスト・ほまれが監修する研修を修了したイケメンセラピストが、ご自宅・ホテルへ出張。女風が初めてのお客様も安心のLINE24時間受付。23区全域＋近郊まで対応。","東京の女風・女性用風俗なら【東京裏彼氏】","ランキング, セラピスト紹介, 女性用風俗 体験談レポ — お客様の声, 料金システム, ご利用の流れ, コラム記事, 対応エリア, 予約・お問い合わせ","0.11154 s","79","400","986","","","https://urakare.jp"
"プレジャーケア — 女性のセクシャルウェルネスとセルフケアのメディア｜ウラカレコラム | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/column","プレジャーケアは、女性が自分を喜ばせる新しいケアの形。セクシャルウェルネスやセルフケアの実践を、2,000人の女性に向き合った現場プロの視点から、タブーなく品よくお届けします。ウラカレコラム。","プレジャーケアのメディア","EDITOR'S PICK, LATEST ARTICLES, RANKING, 初めての方へ","0.12197 s","60","326","1973","","","https://urakare.jp/column"
"本日出勤のセラピスト｜東京の女風 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/today","東京裏彼氏の本日出勤中のセラピスト一覧です。出勤時間・プロフィールをご確認いただけます。","本日の出勤｜東京の女性用風俗 東京裏彼氏, 本日の出勤","","0.12499 s","22","43","107","","",""
"東京の女風セラピスト人気ランキング｜東京裏彼氏","https://urakare.jp/ranking?range=month","東京の女風（女性用風俗）「東京裏彼氏（裏カレ）」の人気セラピストランキング。指名ポイント・口コミにもとづく最新の順位をデイリー・ウィークリー・マンスリーで確認できます。","","","0.13405 s","7","4","105","","","https://urakare.jp/ranking"
"こだわり検索 | 東京裏彼氏 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/search","年齢・身長・イメージであなたにぴったりのセラピストを検索。","こだわり検索","","0.09067 s","22","64","105","","noindex",""
"東京の女風（女性用風俗）セラピスト一覧｜東京裏彼氏","https://urakare.jp/therapist","東京裏彼氏（裏カレ）に在籍する女風（女性用風俗）セラピストの一覧。年齢・身長・タイプ・口コミからお好みのセラピストを選んで指名できます。ご自宅・ホテルへ出張、東京23区＋近郊に対応。","東京の女風セラピスト一覧","","0.09681 s","22","30","408","","","https://urakare.jp/therapist"
"東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/sokumen","東京の女風（女性用風俗）なら東京裏彼氏（裏カレ）。全国No.1セラピスト・ほまれが監修する研修を修了したイケメンセラピストが、ご自宅・ホテルへ出張。女風が初めてのお客様も安心のLINE24時間受付。23区全域＋近郊まで対応。","","","0.10586 s","20","26","106","","nofollow,noindex",""
"初めての方へ｜女風の流れ・料金ガイド | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/guide","女性用風俗が初めてで不安な方へ。料金の総額目安（約3万円〜）、予約から施術までの流れ、セラピストの選び方を分かりやすく解説。完全出張制・秘密厳守・女性限定。LINE相談だけでもOK。","女性用風俗が初めての方へ","こんな方におすすめです, 6つの安心ポイント, ご利用の流れ, 料金について, お客様の声, よくあるご質問","0.11239 s","41","260","1287","","","https://urakare.jp/guide"
"女風の利用場所ガイド｜ホテル・自宅の選び方 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/location-guide","東京裏彼氏の利用場所ガイド。新宿・渋谷・池袋・錦糸町・恵比寿・六本木・麻布十番エリアのおすすめラブホテル一覧と、ご自宅利用のご案内。女性一人でも安心のホテル選び・チェックイン方法まで丁寧に解説。","利用場所ガイド｜女性用風俗のホテル・自宅利用, ご利用場所ガイド","ラブホテルのご利用, ご自宅でのご利用, エリア別おすすめラブホテル, ラブホテルの入り方, ご利用にあたって, 場所に関するよくあるご質問","0.09731 s","32","434","156","","","https://urakare.jp/location-guide"
"料金・コース一覧｜女風の料金表 | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/pricing","女性用風俗・女風「東京裏彼氏」の料金・コース一覧。スタンダード90分¥16,000〜、お泊まり¥65,000〜。全セラピスト指名料無料・追加料金なし。コース料金+交通費のみのシンプル明朗会計。","料金・コース一覧","コース料金一覧 ランク別, お泊まりコース, 交通費, 深夜料金, キャンセルポリシー, よくあるご質問","0.10602 s","39","204","147","","","https://urakare.jp/pricing"
"女風が初めてで怖い方へ｜31の不安にお答えします | 東京の女風・女性用風俗なら【東京裏彼氏】","https://urakare.jp/faq","東京裏彼氏（ウラカレ）に寄せられる31の質問と回答。料金総額（90分¥16,000〜＋交通費のみ）、予約から施術までの流れ、本番の有無、個人情報保護、セラピストの選び方を解説。指名料無料・追加料金なし・完全秘密厳守。","よくあるご質問｜女性用風俗 東京裏彼氏, よくあるご質問","みなさまからよく寄せられる不安, 初めての方へ, サービス内容, 料金について, ご予約について, 安心・安全への取り組み, セラピストについて, まだ不安が解消されない方へ","0.10546 s","67","405","153","","","https://urakare.jp/faq"
